"configuration_form_leading_indicator_Id","leading_indicator_name","Technology","MTPM","uom_metric","uom_imperial","leading_indicator_path","configuration_form_mtpm_id"
"SWEETENERSREFINERYFX42NAOHIXCYCLELENGTH","IX Cycle Length","Sweeteners Refinery","FX 42 NaOH","h","h","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 42 NaOH\IX Cycle Length","WAHPETONSWEETENERSREFINERYFX42NAOH"
"SWEETENERSREFINERYFX55HCLCHEMICALCONCENTRATION-HCL","Chemical Concentration - HCl","Sweeteners Refinery","FX 55 HCl","%","%","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 55 HCl\Chemical Concentration - HCl","WAHPETONSWEETENERSREFINERYFX55HCL"
"SWEETENERSREFINERYFX55HCLCHEMICALVOLUMEPERREGENERATION-HCL","Chemical Volume Per Regeneration - HCl","Sweeteners Refinery","FX 55 HCl","","","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 55 HCl\Chemical Volume Per Regeneration - HCl","WAHPETONSWEETENERSREFINERYFX55HCL"
"SWEETENERSREFINERYFX55HCLIXCYCLELENGTH","IX Cycle Length","Sweeteners Refinery","FX 55 HCl","h","h","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 55 HCl\IX Cycle Length","WAHPETONSWEETENERSREFINERYFX55HCL"
"SWEETENERSREFINERYFX55ISOMERASEUSAGEFRUCTOSECONTENTOUTLETIGI","Fructose Content Outlet IGI","Sweeteners Refinery","FX 55 Isomerase Usage","%","%","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 55 Isomerase Usage\Fructose Content Outlet IGI","WAHPETONSWEETENERSREFINERYFX55ISOMERASEUSAGE"
"SWEETENERSREFINERYFX55NAOHCHEMICALSTRENGTH-NAOH","Chemical Strength - NaOH","Sweeteners Refinery","FX 55 NaOH","%","%","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 55 NaOH\Chemical Strength - NaOH","WAHPETONSWEETENERSREFINERYFX55NAOH"
"SWEETENERSREFINERYFX55NAOHCHEMICALVOLUMEPERREGENERATION-NAOH","Chemical Volume Per Regeneration - NaOH","Sweeteners Refinery","FX 55 NaOH","","","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 55 NaOH\Chemical Volume Per Regeneration - NaOH","WAHPETONSWEETENERSREFINERYFX55NAOH"
"SWEETENERSREFINERYFX55NAOHIXCYCLELENGTH","IX Cycle Length","Sweeteners Refinery","FX 55 NaOH","h","h","Wahpeton\_Reporting\Sweeteners Refinery\KPI\FX 55 NaOH\IX Cycle Length","WAHPETONSWEETENERSREFINERYFX55NAOH"
"SWEETENERSREFINERYSTEAMFX42EVAPORATOREFFICIENCY","FX 42 Evaporator Efficiency","Sweeteners Refinery","Steam","kg/kg","lb/lb","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 42 Evaporator Efficiency","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX42EVAPORATORPREHEATRECLAIMTEMPERATURE","FX 42 Evaporator Preheat Reclaim Temperature","Sweeteners Refinery","Steam","°C","°F","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 42 Evaporator Preheat Reclaim Temperature","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX42EVAPORATORRECYCLEPERCENTAGE","FX 42 Evaporator Recycle Percentage","Sweeteners Refinery","Steam","%","%","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 42 Evaporator Recycle Percentage","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX42EVAPORATORSTEAMPRESSURE","FX 42 Evaporator Steam Pressure","Sweeteners Refinery","Steam","bar","psi","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 42 Evaporator Steam Pressure","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX42EVAPORATORVACUUMPRESSURE","FX 42 Evaporator Vacuum Pressure","Sweeteners Refinery","Steam","bar","inHg","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 42 Evaporator Vacuum Pressure","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX42MVRMAKEUPSTEAMFLOWRATE","FX 42 MVR Make Up Steam Flowrate","Sweeteners Refinery","Steam","t/h","lb/hr","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 42 MVR Make Up Steam Flowrate","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX55EVAPORATOREFFICIENCY","FX 55 Evaporator Efficiency","Sweeteners Refinery","Steam","kW","Btu/h","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 55 Evaporator Efficiency","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX55EVAPORATORRECYCLEPERCENTAGE","FX 55 Evaporator Recycle Percentage","Sweeteners Refinery","Steam","%","%","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 55 Evaporator Recycle Percentage","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX55EVAPORATORSTEAMPRESSURE","FX 55 Evaporator Steam Pressure","Sweeteners Refinery","Steam","bar","psi","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 55 Evaporator Steam Pressure","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX55EVAPORATORVACUUMPRESSURE","FX 55 Evaporator Vacuum Pressure","Sweeteners Refinery","Steam","bar","inHg","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 55 Evaporator Vacuum Pressure","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYSTEAMFX55MVRMAKEUPSTEAMFLOWRATE","FX 55 MVR Make Up Steam Flowrate","Sweeteners Refinery","Steam","t/h","lb/hr","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Steam\FX 55 MVR Make Up Steam Flowrate","WAHPETONSWEETENERSREFINERYSTEAM"
"SWEETENERSREFINERYWATERFX55CHROMOWATERRATIO","FX 55 Chromo Water Ratio","Sweeteners Refinery","Water","kg/kg","lb/lb","Wahpeton\_Reporting\Sweeteners Refinery\KPI\Water\FX 55 Chromo Water Ratio","WAHPETONSWEETENERSREFINERYWATER"
"UTILITIESBIOGASUTILIZATIONBIOGASFLARE","Biogas Flare","Utilities","Biogas Utilization","","","Wahpeton\_Reporting\Utilities\KPI\Biogas Utilization\Biogas Flare","WAHPETONUTILITIESBIOGASUTILIZATION"
"UTILITIESBIOGASUTILIZATIONFACILITYBIOGASCOMBUSTIONPROCESSESINOPERATION","Facility Biogas Combustion Processes in Operation","Utilities","Biogas Utilization","","0","Wahpeton\_Reporting\Utilities\KPI\Biogas Utilization\Facility Biogas Combustion Processes in Operation","WAHPETONUTILITIESBIOGASUTILIZATION"
"UTILITIESBIOGASUTILIZATIONFACILITYWASTEWATERTREATMENTBIOGASFLOW","Facility Waste Water Treatment Biogas Flow","Utilities","Biogas Utilization","","0","Wahpeton\_Reporting\Utilities\KPI\Biogas Utilization\Facility Waste Water Treatment Biogas Flow","WAHPETONUTILITIESBIOGASUTILIZATION"
"UTILITIESCOMPRESSEDAIREFFICIENCYAIRCOMPRESSORSYSTEMAIRHEADERPRESSURE","Air Compressor System Air Header Pressure","Utilities","Compressed Air Efficiency","","","Wahpeton\_Reporting\Utilities\KPI\Compressed Air Efficiency\Air Compressor System Air Header Pressure","WAHPETONUTILITIESCOMPRESSEDAIREFFICIENCY"
"UTILITIESCOMPRESSEDAIREFFICIENCYAIRDRYERREGENERATIONCYCLES","Air Dryer Regeneration Cycles","Utilities","Compressed Air Efficiency","","0","Wahpeton\_Reporting\Utilities\KPI\Compressed Air Efficiency\Air Dryer Regeneration Cycles","WAHPETONUTILITIESCOMPRESSEDAIREFFICIENCY"
"UTILITIESCOMPRESSEDAIREFFICIENCYNUMBEROFAIRCOMPRESSORUNITSINOPERATION","Number of Air Compressor Units in Operation","Utilities","Compressed Air Efficiency","","0","Wahpeton\_Reporting\Utilities\KPI\Compressed Air Efficiency\Number of Air Compressor Units in Operation","WAHPETONUTILITIESCOMPRESSEDAIREFFICIENCY"
"WHEATAREAPROTEINRECOVERY3-PHASEDECANTERMAXCAPACITY","3-phase Decanter Max Capacity","Wheat Area","Protein Recovery","t/h","ston/h","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\3-phase Decanter Max Capacity","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREAPROTEINRECOVERYASHINFLOUR","Ash in Flour","Wheat Area","Protein Recovery","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\Ash in Flour","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREAPROTEINRECOVERYDOUGHMIXERENERGYINPUT","Doughmixer Energy Input","Wheat Area","Protein Recovery","kW","kW","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\Doughmixer Energy Input","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREAPROTEINRECOVERYDOUGHPREPWATER","Dough Prep Water","Wheat Area","Protein Recovery","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\Dough Prep Water","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREAPROTEINRECOVERYFEED3-PHASEDECANTER","Feed 3-Phase Decanter","Wheat Area","Protein Recovery","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\Feed 3-Phase Decanter","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREAPROTEINRECOVERYFLOURYIELD","Flour Yield","Wheat Area","Protein Recovery","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\Flour Yield","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREAPROTEINRECOVERYPHDOUGHPREPWATER","pH Dough Prep Water","Wheat Area","Protein Recovery","pH","pH","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\pH Dough Prep Water","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREAPROTEINRECOVERYSTARCHINBRAN","Starch in Bran","Wheat Area","Protein Recovery","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Protein Recovery\Starch in Bran","BERGENOPZOOMWHEATAREAPROTEINRECOVERY"
"WHEATAREASTARCHINBRANASHINFLOUR","Ash in Flour","Wheat Area","Starch in Bran","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Starch in Bran\Ash in Flour","BERGENOPZOOMWHEATAREASTARCHINBRAN"
"WHEATAREASTARCHINBRANFIRSTTEMPERING","First Tempering","Wheat Area","Starch in Bran","h","h","Bergen op Zoom\_Reporting\Wheat Area\KPI\Starch in Bran\First Tempering","BERGENOPZOOMWHEATAREASTARCHINBRAN"
"WHEATAREASTARCHINBRANFIRSTTEMPERINGMOISTUREINCREASE","First Tempering Moisture Increase","Wheat Area","Starch in Bran","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Starch in Bran\First Tempering Moisture Increase","BERGENOPZOOMWHEATAREASTARCHINBRAN"
"WHEATAREASTARCHINBRANFLOURYIELD","Flour Yield","Wheat Area","Starch in Bran","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\Starch in Bran\Flour Yield","BERGENOPZOOMWHEATAREASTARCHINBRAN"
"WHEATAREASTEAMEFFLUENTHEATER","Effluent Heater","Wheat Area","Steam","t","ton","Bergen op Zoom\_Reporting\Wheat Area\KPI\Steam\Effluent Heater","BERGENOPZOOMWHEATAREASTEAM"
"WHEATAREASTEAMVGWDRYER1","VGW Dryer 1","Wheat Area","Steam","kW","kW","Bergen op Zoom\_Reporting\Wheat Area\KPI\Steam\VGW Dryer 1","BERGENOPZOOMWHEATAREASTEAM"
"WHEATAREASTEAMVGWDRYER2","VGW Dryer 2","Wheat Area","Steam","kW","kW","Bergen op Zoom\_Reporting\Wheat Area\KPI\Steam\VGW Dryer 2","BERGENOPZOOMWHEATAREASTEAM"
"WHEATAREASTEAMVGWDRYER3","VGW Dryer 3","Wheat Area","Steam","kW","kW","Bergen op Zoom\_Reporting\Wheat Area\KPI\Steam\VGW Dryer 3","BERGENOPZOOMWHEATAREASTEAM"
"WHEATAREASTEAMVGWDRYER4","VGW Dryer 4","Wheat Area","Steam","kW","kW","Bergen op Zoom\_Reporting\Wheat Area\KPI\Steam\VGW Dryer 4","BERGENOPZOOMWHEATAREASTEAM"
"WHEATAREAVWGMOISTURECLASSIFIERMILLDS","Classifier Mill DS","Wheat Area","VWG Moisture","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Moisture\Classifier Mill DS","BERGENOPZOOMWHEATAREAVWGMOISTURE"
"WHEATAREAVWGMOISTUREGLUTENDRYERAIRRH","Gluten dryer air RH","Wheat Area","VWG Moisture","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Moisture\Gluten dryer air RH","BERGENOPZOOMWHEATAREAVWGMOISTURE"
"WHEATAREAVWGMOISTUREGLUTENDRYERMOISTURE","Gluten Dryer Moisture","Wheat Area","VWG Moisture","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Moisture\Gluten Dryer Moisture","BERGENOPZOOMWHEATAREAVWGMOISTURE"
"WHEATAREAVWGMOISTUREGLUTENDRYEROUTLETTEMPERATURE","Gluten Dryer Outlet Temperature","Wheat Area","VWG Moisture","degC","degF","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Moisture\Gluten Dryer Outlet Temperature","BERGENOPZOOMWHEATAREAVWGMOISTURE"
"WHEATAREAVWGMOISTUREGLUTENSCREENINGTEMPERATURE","Gluten Screening Temperature","Wheat Area","VWG Moisture","degC","degF","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Moisture\Gluten Screening Temperature","BERGENOPZOOMWHEATAREAVWGMOISTURE"
"WHEATAREAVWGPROTEIN1STSCREENWASHWATERADDITION","1st Screen Wash Water Addition","Wheat Area","VWG Protein","m3/h","ft3/h","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Protein\1st Screen Wash Water Addition","BERGENOPZOOMWHEATAREAVWGPROTEIN"
"WHEATAREAVWGPROTEIN3-PHASEDECANTERMAXCAPACITY","3-Phase Decanter Max Capacity","Wheat Area","VWG Protein","t/h","ston/h","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Protein\3-Phase Decanter Max Capacity","BERGENOPZOOMWHEATAREAVWGPROTEIN"
"WHEATAREAVWGPROTEIN3-PHASEDECANTERTORQUE","3-Phase Decanter Torque","Wheat Area","VWG Protein","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Protein\3-Phase Decanter Torque","BERGENOPZOOMWHEATAREAVWGPROTEIN"
"WHEATAREAVWGPROTEINFEED3-PHASEDECANTER","Feed 3-Phase Decanter","Wheat Area","VWG Protein","%","%","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Protein\Feed 3-Phase Decanter","BERGENOPZOOMWHEATAREAVWGPROTEIN"
"WHEATAREAVWGPROTEINGLUTENSCREENINGTEMPERATURE","Gluten Screening Temperature","Wheat Area","VWG Protein","degC","degF","Bergen op Zoom\_Reporting\Wheat Area\KPI\VWG Protein\Gluten Screening Temperature","BERGENOPZOOMWHEATAREAVWGPROTEIN"
